Menu Item,Ingredient ID,Ingredient,Ingredient Category,Amount Used,Recipe Unit,Notes
Watermelon Waves,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Watermelon Waves,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Watermelon Waves,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Watermelon Waves,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Watermelon Waves,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Watermelon Waves,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Razz Margarita,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Razz Margarita,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Razz Margarita,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Razz Margarita,JUI-LIME_JUICE,Lime Juice,Juice,0.6,fl oz,0.5 oz + EST drizzle on top
Razz Margarita,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Razz Margarita,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Razz Margarita,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Mojito,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Mojito,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Mojito,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Mojito,JUI-LIME_JUICE,Lime Juice,Juice,0.5,fl oz,0.5 oz
Mojito,VEG-MINT,Mint,Vegetable,0.04,oz,EST - 3 leaves
Mojito,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Mojito,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Mojito,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Watermelon Mint,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Watermelon Mint,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Watermelon Mint,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Watermelon Mint,JUI-LIME_JUICE,Lime Juice,Juice,0.6,fl oz,0.5 oz + EST drizzle on top
Watermelon Mint,VEG-MINT,Mint,Vegetable,0.04,oz,EST - 3 leaves
Watermelon Mint,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Watermelon Mint,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Watermelon Mint,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Island Pineapple,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Island Pineapple,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Island Pineapple,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Island Pineapple,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Island Pineapple,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Island Pineapple,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Malibu Sunset,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Malibu Sunset,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Malibu Sunset,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Malibu Sunset,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Malibu Sunset,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Malibu Sunset,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Peach Mango Margarita,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Peach Mango Margarita,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Peach Mango Margarita,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,2 bev-mix scoop(s) @ 0.15 oz
Peach Mango Margarita,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Peach Mango Margarita,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Peach Mango Margarita,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Cucumber Lime Mint,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Cucumber Lime Mint,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Cucumber Lime Mint,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.15,oz,1 bev-mix scoop(s) @ 0.15 oz
Cucumber Lime Mint,JUI-LIME_JUICE,Lime Juice,Juice,0.5,fl oz,0.5 oz
Cucumber Lime Mint,VEG-MINT,Mint,Vegetable,0.04,oz,EST - 3 leaves
Cucumber Lime Mint,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Cucumber Lime Mint,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Cucumber Lime Mint,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
Melon Breeze,PWD-ZIPFIZZ,Zipfizz,Powder,1.0,each,1 zipfizz
Melon Breeze,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3.0,fl oz,3 oz tea
Melon Breeze,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.22,oz,EST - 1 heaping spoon
Melon Breeze,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1.0,each,
Melon Breeze,PKG-32OZ_LID,32oz Lid,Packaging,1.0,each,
Melon Breeze,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1.0,each,
